Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J2","Conn_01x04_Socket","SWD_pogo_pads",149.021900,-92.811262,0.000000,bottom
"C1","10uF","C_0603_1608Metric",135.821900,-82.943662,0.000000,top
"C2","10uF","C_0603_1608Metric",147.121900,-82.892862,0.000000,top
"C3","1uF","C_0402_1005Metric",135.563900,-84.734400,90.000000,top
"C4","1uF","C_0402_1005Metric",135.513100,-87.109262,-90.000000,top
"D1","WS2812C-4020","WS2812C-4020",145.241400,-95.031262,180.000000,top
"D2","WS2812C-4020","WS2812C-4020",137.641400,-95.031262,180.000000,top
"J1","USB_A","917-P81A102ED60200",141.421900,-80.831262,0.000000,top
"SW1","SW_Push","LS75C2D-T",134.141400,-85.293200,-90.000000,top
"U1","ATSAMD21E18A-M","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm",136.071900,-91.122462,0.000000,top
"U2","AP2112K-3.3","SOT-23-5",137.702800,-85.598000,90.000000,top
"U3","SCD40-D-R2","Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm",144.541400,-88.988862,90.000000,top
