Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",136.652000,-87.122000,180.000000,bottom
"C2","10uF","C_0603_1608Metric",136.687000,-92.710000,180.000000,bottom
"C3","1uF","C_0402_1005Metric",138.684000,-92.964000,-90.000000,bottom
"C4","1uF","C_0402_1005Metric",142.443200,-91.846400,180.000000,bottom
"D1","SK6805","LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm",141.478000,-96.494600,180.000000,bottom
"SW1","SW_Push","LS75C2D-T",136.906000,-85.217000,0.000000,bottom
"U1","ATSAMD21E18A-M","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm",142.087600,-88.239600,0.000000,bottom
"U2","AP2112K-3.3","SOT-23-5",136.890200,-89.916000,-90.000000,bottom
"D2","SK6805","LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm",141.478000,-96.494600,0.000000,top
"J1","USB_A","917-P81A102ED60200",141.478000,-80.844000,0.000000,top
"U3","SCD40-D-R2","Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm",141.478000,-89.179400,90.000000,top
