Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22uF/25V","C_0805_2012Metric",147.371900,-101.531262,90.000000,bottom
"C2","22uF/25V","C_0805_2012Metric",146.521900,-92.031262,0.000000,bottom
"C3","22uF/25V","C_0805_2012Metric",140.721900,-89.831262,180.000000,bottom
"C4","4.7uF/35V","C_0603_1608Metric",147.421900,-109.756262,-90.000000,bottom
"C5","2.2uF/10V","C_0201_0603Metric",145.921900,-110.981262,180.000000,bottom
"C6","1uF/50V","C_0603_1608Metric",139.421900,-109.306262,180.000000,bottom
"C7","2.2uF/10V","C_0201_0603Metric",139.921900,-110.731262,-90.000000,bottom
"C9","10n/50V","C_0603_1608Metric",141.421900,-93.531262,180.000000,bottom
"C10","100n/25V","C_0201_0603Metric",144.171900,-94.731262,-90.000000,bottom
"C11","2.2uF/10V","C_0201_0603Metric",139.221900,-110.731262,-90.000000,bottom
"C12","2.2uF/10V","C_0201_0603Metric",138.171900,-110.731262,-90.000000,bottom
"C13","2.2uF/10V","C_0201_0603Metric",136.821900,-110.956262,0.000000,bottom
"C14","100n/25V","C_0201_0603Metric",140.971900,-110.931262,180.000000,bottom
"C15","4.7uF/35V","C_0603_1608Metric",137.321900,-105.231262,-90.000000,bottom
"C17","1uF/50V","C_0603_1608Metric",136.421900,-109.881262,0.000000,bottom
"C18","4.7uF/35V","C_0603_1608Metric",141.721900,-104.331262,-90.000000,bottom
"C19","22uF/25V","C_0805_2012Metric",136.821900,-84.481262,-90.000000,bottom
"D1","NSR05F30NXT5G","XDFN-2(0.6x1)",137.496900,-108.393762,-90.000000,bottom
"D2","ESD9B3.3ST5G","D_SOD-923",143.071900,-97.481262,-90.000000,bottom
"D3","ESD9B3.3ST5G","D_SOD-923",142.718885,-99.578247,135.000000,bottom
"D4","ESD9L5.0ST5G-ES","D_SOD-923",140.471900,-95.631262,-90.000000,bottom
"D6","NSR05F30NXT5G","XDFN-2(0.6x1)",137.409400,-107.106262,0.000000,bottom
"D7","NSR05F30NXT5G","XDFN-2(0.6x1)",138.621900,-107.743762,90.000000,bottom
"F1","6V 750mA 40A 1.5A","C_0402_1005Metric",141.471900,-96.531262,90.000000,bottom
"FB1","TDK MPZ1005S121CT000","L_0402_1005Metric",142.871900,-94.981262,0.000000,bottom
"J2","FPC 18POS 0.5mm","XKB Connection X05C2018TZ",141.421900,-113.281262,180.000000,bottom
"L1","3.3uH","L_Murata_LQH3NPZ",146.621900,-97.881262,0.000000,bottom
"L2","47u","L_SMD_2.2x1.6mm",140.871900,-107.356262,180.000000,bottom
"Q2","Si1308EDL","SOT-323_SC-70",139.521900,-104.881262,180.000000,bottom
"R2","5.1k","R_0201_0603Metric",142.221900,-97.081262,-90.000000,bottom
"R3","5.1k","R_0201_0603Metric",142.115852,-100.175214,135.000000,bottom
"R4","1M","R_0201_0603Metric",140.321900,-103.231262,0.000000,bottom
"R5","2.2","R_0201_0603Metric",138.921900,-103.231262,0.000000,bottom
"R8","5.6k","R_0402_1005Metric",137.321900,-90.056262,0.000000,bottom
"SW3","MK-12C03-G015","MK-12C03-G015",141.621900,-82.356262,0.000000,bottom
"U2","MAX809TEUR","SOT-23",146.021900,-104.981262,180.000000,bottom
"U5","SLM6401","SOT-23-6",136.971900,-87.893762,0.000000,bottom
"U6","LM66100DCK","SOT-363_SC-70-6",141.321900,-86.831262,90.000000,bottom
"U7","LM66100DCK","SOT-363_SC-70-6",144.271900,-86.831262,90.000000,bottom
"U8","TPS62172DSG","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",146.771900,-94.581262,-90.000000,bottom
"C8","100n/25V","C_0201_0603Metric",138.221900,-102.931262,90.000000,top
"D8","LED_orange","LED_0402_1005Metric",135.221900,-89.331262,-90.000000,top
"D9","LED_green","LED_0402_1005Metric",135.366900,-101.731262,0.000000,top
"J1","USB_C_16P","USB_C_Receptacle_G-Switch_GT-USB-7051x",141.421900,-98.581262,90.000000,top
"R1","5.1k","R_0201_0603Metric",135.221900,-91.031262,-90.000000,top
"R6","5.1k","R_0201_0603Metric",136.021900,-102.931262,90.000000,top
"R7","5.1k","R_0201_0603Metric",135.321900,-102.931262,90.000000,top
"R9","5.1k","R_0201_0603Metric",137.521900,-102.931262,90.000000,top
"R10","5.1k","R_0201_0603Metric",136.821900,-102.031262,-90.000000,top
"SW2","SW_Push","GT-TC108X-H034",136.521900,-98.581262,90.000000,top
"U1","ESP32-C6-MINI-1/U","ESP32-C6-MINI-1",141.421900,-112.131262,180.000000,top
"U3","SCD40","Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm",141.421900,-88.181262,0.000000,top
"U4","SIT1552AI-JE-DCC-32.768D","SiT1552CSP_0.84x1.54",147.171900,-103.131262,-90.000000,top
